races	tier
Omloop Nieuwsblad ME	1
Strade Bianche	1
Paris-Nice	1
Tirreno-Adriatico	1
Milano-Sanremo	1
Ronde van Vlaanderen - Tour des Flandres	1
Paris-Roubaix	1
Amstel Gold Race	1
La Flèche Wallonne	1
Liège-Bastogne-Liège	1
Giro d'Italia	1
Critérium du Dauphiné	1
Tour de France	1
La Vuelta Ciclista a España	1
Grand Prix Cycliste de Québec	1
Grand Prix Cycliste de Montréal	1
World Championship - Time Trial	1
World Championships - Road Race	1
Il Lombardia	1
Volta ao Algarve em Bicicleta	2
Kuurne - Brussel - Kuurne	2
Volta Ciclista a Catalunya	2
E3 Saxo Classic	2
Gent-Wevelgem in Flanders Fields	2
Dwars door Vlaanderen - A travers la Flandre	2
Itzulia Basque Country	2
Tour de Romandie	2
Tour de Suisse	2
Donostia San Sebastian Klasikoa	2
Tour de Pologne	2
ADAC Cyclassics	2
Renewi Tour	2
Bretagne Classic - Ouest-France	2
SUPER 8 Classic	2
European Continental Championships- Road Race	2
Giro dell'Emilia	2
Tre Valli Varesine	2
Santos Tour Down Under	3
Cadel Evans Great Ocean Road Race	3
Volta a la Comunitat Valenciana	3
UAE Tour	3
Faun-Ardèche Classic	3
Faun Drome Classic	3
Classic Brugge-De Panne ME	3
Grand Premio Miguel Indurain	3
De Brabantse Pijl - La Flèche Brabançonne	3
Eschborn-Frankfurt	3
Brussels Cycling Classic	3
Copenhagen Sprint	3
Lidl Deutschland Tour	3
Tour of Britain Men	3
GP Industria & Artigianato	3
Gran Premio città di Peccioli - Coppa Sabatini	3
Sparkassen Münsterland Giro	3
Gran Piemonte	3
Paris - Tours Elite	3
Giro del Veneto	3
